school,n,amin,asian,black,hisp,white,multi,f,m,n,free,n,oneparent,n,limeng
ROXHILL,368,2.70%,16.00%,25.80%,35.60%,13.90%,6.00%,51.90%,48.10%,288,78.30%,143,38.90%,119,32.30%
SACAJAWEA,260,0.40%,10.00%,7.30%,11.50%,61.20%,9.60%,50.40%,49.60%,66,25.40%,52,20.00%,16,6.20%
SANDPOINT,231,0.00%,19.50%,20.30%,13.90%,32.90%,13.40%,51.90%,48.10%,118,51.10%,73,31.60%,65,28.10%
SANISLO,281,2.10%,27.80%,21.40%,17.40%,20.30%,11.00%,54.10%,45.90%,189,67.30%,109,38.80%,77,27.40%
SCHMITZPARK,536,0.00%,6.20%,2.10%,7.60%,73.90%,10.30%,52.40%,47.60%,67,12.50%,90,16.80%,4,0.70%
STEVENS,377,1.30%,7.20%,22.50%,15.10%,46.20%,7.70%,48.00%,52.00%,144,38.20%,97,25.70%,56,14.90%
THORNTONCREEK,362,0.60%,4.70%,2.50%,6.60%,73.20%,12.40%,48.60%,51.40%,28,7.70%,32,8.80%,1,0.30%
THURGOODMARSHALL,455,0.20%,16.30%,22.00%,7.00%,47.90%,6.60%,45.30%,54.70%,143,31.40%,89,19.60%,44,9.70%
VANASSELT,523,0.80%,49.10%,31.50%,11.30%,2.70%,4.60%,48.40%,51.60%,422,80.70%,180,34.40%,238,45.50%
VIEWRIDGE,598,0.30%,12.90%,1.30%,4.80%,70.10%,10.50%,52.20%,47.80%,33,5.50%,47,7.90%,9,1.50%
VIEWLANDS,246,0.40%,10.20%,16.70%,20.30%,43.10%,9.30%,49.60%,50.40%,144,58.50%,92,37.40%,59,24.00%
WEDGWOOD,471,0.20%,17.40%,1.30%,7.20%,64.30%,9.60%,48.20%,51.80%,42,8.90%,42,8.90%,6,1.30%
WESTSEATTLEELEM,399,1.50%,12.30%,51.40%,22.10%,8.30%,4.50%,44.10%,55.90%,356,89.20%,184,46.10%,155,38.80%
WESTWOODLAND,486,0.20%,7.60%,1.60%,5.80%,80.50%,4.30%,49.40%,50.60%,34,7.00%,52,10.70%,3,0.60%
WHITTIER,466,0.40%,6.20%,3.00%,5.20%,75.50%,9.70%,49.10%,50.90%,65,13.90%,71,15.20%,3,0.60%
WINGLUKE,331,0.30%,47.10%,35.60%,7.90%,2.40%,6.60%,46.80%,53.20%,271,81.90%,89,26.90%,114,34.40%
